content,events_refined
"I intended to upgrade to premium and even recommend LinkedIn, but this situation is extremely frustrating. My account has been restricted, and I've attempted to verify my voter's card using Persona, but I encounter the same issue each time: ""couldn't verify photo."" I used to enjoy the user interface, but this recent frustration has soured my experience. I've been unable to access my account for several weeks now. Please resolve this matter promptly.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I intended to upgrade to premium and even recommend LinkedIn, but this situation is extremely frustrating. My account has been restricted, and I've attempted to verify my voter's card using Persona, but I encounter the same issue each time: ""couldn't verify photo."" I used to enjoy the user interface, but this recent frustration has soured my experience. I've been unable to access my account for several weeks now. Please resolve this matter promptly.

### events refined:

[ I intended to upgrade to premium and even recommend LinkedIn, I encounter the same issue each time: ""couldn't verify photo"", I've been unable to access my account for several weeks now.]
"
"One of the main problems with LinkedIn is that it doesn't take your education, experience, skills, and requirements into account when matching jobs. You should never even see jobs that require a PhD if you've never even attended college. The same can be said for skills and experience you don't possess and remote jobs that require you to live in certain state (if you don't). Also, every app with over a billion users should have a dark mode setting. It saves battery & is easier on the eyes.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
One of the main problems with LinkedIn is that it doesn't take your education, experience, skills, and requirements into account when matching jobs. You should never even see jobs that require a PhD if you've never even attended college. The same can be said for skills and experience you don't possess and remote jobs that require you to live in certain state (if you don't). Also, every app with over a billion users should have a dark mode setting. It saves battery & is easier on the eyes.

### events refined:

[It doesn't take my education, experience, skills, and requirements into account when matching jobs. I should never even see jobs that require a PhD if I've never even attended college. It's the same for skills and experience I don't possess, and remote jobs that require me to live in certain state (if"
"Catch up feature is not great and it should be possible to turn it off and go back to the standard ""my network"" from previous updates. The fact that you can't is really annoying and makes using the app really frustrating because you think you're getting a networking related notification, but then it turns out to be something pointless. Why was this made when a notification section already existed and you could control what you received or not?","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
Catch up feature is not great and it should be possible to turn it off and go back to the standard ""my network"" from previous updates. The fact that you can't is really annoying and makes using the app really frustrating because you think you're getting a networking related notification, but then it turns out to be something pointless. Why was this made when a notification section already existed and you could control what you received or not?

### events refined:

[I turn off the catch up feature, I go back to the standard ""my network"", I think I'm getting a networking related notification, It turns out to be something pointless]
"
"Awful messaging user experience as a whole. You tap to send a file and it immediately sends the selection instead of prompting for confirmation like every other app, and you get a message from recruiters but when you try to read and reply it's not there until you send a message. What a mess, for something that the usefulness is 95% done through message exchange","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
Awful messaging user experience as a whole. You tap to send a file and it immediately sends the selection instead of prompting for confirmation like every other app, and you get a message from recruiters but when you try to read and reply it's not there until you send a message. What a mess, for something that the usefulness is 95% done through message exchange

### events refined:

[You tap to send a file, It immediately sends the selection instead of prompting for confirmation like every other app] [You get a message from recruiters, You try to read and reply, It's not there until you send a message]
"
"There are constant crashes on linkedin. The app has always had these issues. Unable to load, failed to load, network error l are some examples of the messages from the system. Edit, the above seemed to be resolved for the most part now. But replaced with flashing screen on login attempts having to open and close the app multiple times to put in login details then after successful login the app starts the flashing again and needs to but force stopped to open.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
There are constant crashes on linkedin. The app has always had these issues. Unable to load, failed to load, network error l are some examples of the messages from the system. Edit, the above seemed to be resolved for the most part now. But replaced with flashing screen on login attempts having to open and close the app multiple times to put in login details then after successful login the app starts the flashing again and needs to but force stopped to open.

### events refined:

[There are constant crashes on LinkedIn, The app has always had these issues, Unable to load, Failed to load, Network error, I am unable to login, I am unable to open the app, I am unable to put in login details, The app starts the flashing again, I have to force stop the app"
"I've had a frustrating experience with the LinkedIn app for the past two months,Despite LinkedIn being a prominent platform for both business owners and candidates, the app hasn't allowed me to verify my profile. Instead of providing an easy verification process, it insists on using the third-party service ""Clear,"" which is neither clear nor efficient. It's an awful waste of time, and I'm apprehensive about adding my private documents to this unreliable service that fails for everything","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I've had a frustrating experience with the LinkedIn app for the past two months,Despite LinkedIn being a prominent platform for both business owners and candidates, the app hasn't allowed me to verify my profile. Instead of providing an easy verification process, it insists on using the third-party service ""Clear,"" which is neither clear nor efficient. It's an awful waste of time, and I'm apprehensive about adding my private documents to this unreliable service that fails for everything

### events refined:

[I've had a frustrating experience with the LinkedIn app for the past two months, It hasn't allowed me to verify my profile, It insists on using the third-party service ""Clear"", It's an awful waste of time, I'm apprehensive about adding my private documents to this unreliable service that fails for everything]
"
"Signed in with phone number and until now I haven't been able to add my email address. ""We were unable to handle the request. Please try again,"" always says that. I can't even login on through dekstop browser either, what am I supposed to do? While many functionalities are locked behind having registered email address. Excellent app, I tell you.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
Signed in with phone number and until now I haven't been able to add my email address. ""We were unable to handle the request. Please try again,"" always says that. I can't even login on through dekstop browser either, what am I supposed to do? While many functionalities are locked behind having registered email address. Excellent app, I tell you.

### events refined:

[""I signed in with phone number, I haven't been able to add my email address, it always says ""We were unable to handle the request. Please try again,""""]
"
I literally have no idea how to use this app any more if I cannot use my contact list in my phone to build my contact list in linked in. I don't have time to search each and every new contact. Microsoft cut linked it's legs out from under it. Now there's nothing to stand on. Thanks.,"Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I literally have no idea how to use this app any more if I cannot use my contact list in my phone to build my contact list in linked in. I don't have time to search each and every new contact. Microsoft cut linked it's legs out from under it. Now there's nothing to stand on. Thanks.

### events refined:

[ I cannot use my contact list in my phone to build my contact list in linked in] [ I don't have time to search each and every new contact]
"
"It always shows me ads instead of designs. A lot of things I cannot cope with and exhibitions as it always shows promoted pages or what others liked that are not related to it. the algorithms are bad. In my posts, others can't see what I published so I have poor interactions even though I stick to the publish plan made by LinkedIn!","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
It always shows me ads instead of designs. A lot of things I cannot cope with and exhibitions as it always shows promoted pages or what others liked that are not related to it. the algorithms are bad. In my posts, others can't see what I published so I have poor interactions even though I stick to the publish plan made by LinkedIn!

### events refined:

[I always show me ads instead of designs] [I cannot cope with a lot of things] [It always shows promoted pages or what others liked that are not related to it] [In my posts, others can't see what I published]
"
"Last update has broken the app. Clicking on comments on a post doesn't display the comments, clicking 'more' on a jobs posting doesn't display more jobs and just takes you back to the homescreen - these are the only ones I've spotted in about 20 minutes of using the app the last couple of days. Expecting there to be many more issues that I'm not yet aware of. Shambles.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
Last update has broken the app. Clicking on comments on a post doesn't display the comments, clicking'more' on a jobs posting doesn't display more jobs and just takes you back to the homescreen - these are the only ones I've spotted in about 20 minutes of using the app the last couple of days. Expecting there to be many more issues that I'm not yet aware of. Shambles.

### events refined:

[""I click on comments on a post, it doesn't display the comments."", ""I click'more' on a jobs posting, it doesn't display more jobs, it takes me back to the home screen.""]
"
"The app just doesn't work. It constantly crashes, won't let you access even basic functions and seems to struggle to even scroll smoothly. I'm amazed something this functionally bad is in use, especially by a company supposedly dedicated to efficient working and getting the right people in the right jobs...","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
The app just doesn't work. It constantly crashes, won't let you access even basic functions and seems to struggle to even scroll smoothly. I'm amazed something this functionally bad is in use, especially by a company supposedly dedicated to efficient working and getting the right people in the right jobs...

### events refined:

[It constantly crashes, won't let you access even basic functions, It struggles to even scroll smoothly]
"
I find it so hard to view local jobs on LinkedIn. I can view them on any other jobsites and I can see on indeed that the posting is on LinkedIn but whatever algorithm they use tends to show jobs that are in the US and Mexico but nothing local. Even when searching for a specific job I know is on the site it does not bring up results. This is my least favorite jobsite of all the ones I use. Very frustrating,"Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I find it so hard to view local jobs on LinkedIn. I can view them on any other jobsites and I can see on indeed that the posting is on LinkedIn but whatever algorithm they use tends to show jobs that are in the US and Mexico but nothing local. Even when searching for a specific job I know is on the site it does not bring up results. This is my least favorite jobsite of all the ones I use. Very frustrating

### events refined:

[ I view local jobs on LinkedIn, it shows jobs that are in the US and Mexico, I search for a specific job, it does not bring up results]
"
"I joined LinkedIn yesterday and started to send connection requests to some of my friends. Although the requests were shown pending, my friends told me they have not recieved any notifications and they had to request me by themselves. I checked my setting and Help center but couldn't find anything helpful. It was such a disappointment on my first day.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I joined LinkedIn yesterday and started to send connection requests to some of my friends. Although the requests were shown pending, my friends told me they have not recieved any notifications and they had to request me by themselves. I checked my setting and Help center but couldn't find anything helpful. It was such a disappointment on my first day.

### events refined:

[I joined LinkedIn yesterday, I started to send connection requests to some of my friends, The requests were shown pending, My friends told me they have not received any notifications, They had to request me by themselves, I checked my setting and Help center, I couldn't find anything helpful, It was such a disappointment on my"
"TRASH APP. Very Slow. Not responsive. Even at the time of Stable Networks, the App fails to load the Contents. NO IMPROVEMENTS. The 3rd Class thing about this app is most of the thing is paid. If you want to make connections with people, or You want to see someone's profile it's paid ( LinkedIn Member ). Lots of Ads & Fake Accounts. Limited personalized message features. You cannot verify Your profile with College Mail ID. If You want to message someone, it is paid. 3RD CLASS APP.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
TRASH APP. Very Slow. Not responsive. Even at the time of Stable Networks, the App fails to load the Contents. NO IMPROVEMENTS. The 3rd Class thing about this app is most of the thing is paid. If you want to make connections with people, or You want to see someone's profile it's paid ( LinkedIn Member ). Lots of Ads & Fake Accounts. Limited personalized message features. You cannot verify Your profile with College Mail ID. If You want to message someone, it is paid. 3RD CLASS APP.

### events refined:

[""I want to make connections with people, I want to see someone's profile, it's paid""] [""I want to message someone, it's paid""]
"
What a messy app is this !! Very disappointing!! Every single time it shows wrong password nd if we select forget there is a long war for that. we have to pass through the long series of verifications...tap the correct way up and still we can't reset our password why..?? Because the linkedIn can send you the email of login in another device but at the same time it can't send the mail having CODE .again a series of resending the codes but....still the code is resent only.nd we are not logged in!,"Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
What a messy app is this!! Very disappointing!! Every single time it shows wrong password nd if we select forget there is a long war for that. we have to pass through the long series of verifications...tap the correct way up and still we can't reset our password why..?? Because the linkedIn can send you the email of login in another device but at the same time it can't send the mail having CODE.again a series of resending the codes but....still the code is resent only.nd we are not logged in!

### events refined:

[It shows wrong password, I select forget, it shows a long war for that, I have to pass through the long series of verifications, I tap the correct way up, I still can't reset my password, LinkedIn can send me the email of login in another device, it can't send me the mail"
"Bad service. I have a account already and you continuous blocking me to getting to my account requesting some documents for validation of personal information. You put me in restricted account. Ridiculous! That's a why I gave you ""BAD SERVICE"". Please unlock my account as quickly as possible. If customer has email address or phone number with a password I think it is enough to recognize the person. All other things what you are requesting from the customer using the personal information is wrong","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
Bad service. I have a account already and you continuous blocking me to getting to my account requesting some documents for validation of personal information. You put me in restricted account. Ridiculous! That's a why I gave you ""BAD SERVICE"". Please unlock my account as quickly as possible. If customer has email address or phone number with a password I think it is enough to recognize the person. All other things what you are requesting from the customer using the personal information is wrong

### events refined:

[I have a account already, You continuous blocking me to getting to my account, I request some documents for validation of personal information, You put me in restricted account, I gave you ""BAD SERVICE"", Please unlock my account as quickly as possible, I think it is enough to recognize the person, All other things what you"
"I regret updating to the latest version. Theapp crashes or I'll receieve a ""Something went wrong. Try updating the page."" I can't view my profile, notifications and see beyond 3 posts on the home page. If you click on ""see more posts"" you will get the ""something went wrong"" error.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I regret updating to the latest version. Theapp crashes or I'll receieve a ""Something went wrong. Try updating the page."" I can't view my profile, notifications and see beyond 3 posts on the home page. If you click on ""see more posts"" you will get the ""something went wrong"" error.

### events refined:

[The app crashes, I receive ""Something went wrong. Try updating the page.""] [I can't view my profile, notifications, and see beyond 3 posts on the home page, If I click on ""see more posts"" I get ""something went wrong"" error.]
"
"I was asked to verify my documents to recover my account, and then the app just would not open the camera to click a picture of my face as required by Persona. This is a terrible app with terrible customer support. I have been waiting for months for my account to be restored and there hasn't even been given a reason for restricting it in the first place.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I was asked to verify my documents to recover my account, and then the app just would not open the camera to click a picture of my face as required by Persona. This is a terrible app with terrible customer support. I have been waiting for months for my account to be restored and there hasn't even been given a reason for restricting it in the first place.

### events refined:

[I was asked to verify my documents to recover my account, then the app just would not open the camera to click a picture of my face as required by Persona, I have been waiting for months for my account to be restored and there hasn't even been given a reason for restricting it in the first place]
"
"Dear LinkedIn Team, As you can see, my full name is 'Abhishek'. I do not have a last name. But unfortunately, leaving the last name empty is not allowed on the LinkedIn app. All the app's features push for inclusion and diversity but unfortunately, it doesn't seem to inclusive of people with just a single name. Please fix this.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
Dear LinkedIn Team, As you can see, my full name is 'Abhishek'. I do not have a last name. But unfortunately, leaving the last name empty is not allowed on the LinkedIn app. All the app's features push for inclusion and diversity but unfortunately, it doesn't seem to inclusive of people with just a single name. Please fix this.

### events refined:

[I do not have a last name, but leaving the last name empty is not allowed on the LinkedIn app.]
"
"I cannot open links in my own browser. There is no button to open in browser, only to copy and paste it manually in the browser. Very bad ux... Also, a lot of fake reviews, like ""as a professional who strives for growth this app in indispensable"" etc. Who writes like that? If you can't create a good app just buy reviews. Very smart...","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I cannot open links in my own browser. There is no button to open in browser, only to copy and paste it manually in the browser. Very bad ux... Also, a lot of fake reviews, like ""as a professional who strives for growth this app in indispensable"" etc. Who writes like that? If you can't create a good app just buy reviews. Very smart...

### events refined:

[I cannot open links in my own browser, There is no button to open in browser, I have to copy and paste it manually in the browser, Very bad ux, There are a lot of fake reviews, I can't create a good app, I just buy reviews]
"
"For the last 3 months, the app experience has been the most awful. I can't count the number of competitions, hackathons and workshops I have had to leave because Persona wouldn't verify any of my government issued ids. Today, I had to pass up on a hackathon I had been preparing for a year because the registration requires a verified LinkedIn profile. Really disappointed because of your app.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
For the last 3 months, the app experience has been the most awful. I can't count the number of competitions, hackathons and workshops I have had to leave because Persona wouldn't verify any of my government issued ids. Today, I had to pass up on a hackathon I had been preparing for a year because the registration requires a verified LinkedIn profile. Really disappointed because of your app.

### events refined:

[The app experience has been the most awful for the last 3 months, I can't count the number of competitions, hackathons and workshops I have had to leave because Persona wouldn't verify any of my government issued ids] [I had to pass up on a hackathon I had been preparing for a year"
"I have been trying to register for the past two days now via the app and I have not been given access despite inputing my details it only redirect to a ""security checkup"" and after the verification, it displays a message that says: ""Your noCaptcha response code is missing or invalid."" I can't register up till this moment.","Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I have been trying to register for the past two days now via the app and I have not been given access despite inputing my details it only redirect to a ""security checkup"" and after the verification, it displays a message that says: ""Your noCaptcha response code is missing or invalid."" I can't register up till this moment.

### events refined:

[I have been trying to register for the past two days now via the app, I have not been given access, I input my details, it only redirect to a ""security checkup"", after the verification, it displays a message that says: ""Your noCaptcha response code is missing or invalid.""]
"
I can not log in my linkedin account. It shows unknown error try again later...what Does it mean?? What is the issue?? Why i can not log in?? This is quite absurd.. From tomorrow i can not log in my account from mobile..i can not use any other gmail account for new sign in from mobile...i can not even open the site From my computer system..what is happening? I never did anything wrong!! Please give me a reason?? What is happening? This so absurd,"Below is the contents and the events which are refined.
Extract the events from the following text. Enclose events in square brackets [ ],
and enclose each set of related events in a separate pair of square brackets [[ ]]. Ensure that each event within a set is clearly separated by commas.

### content:
I can not log in my linkedin account. It shows unknown error try again later...what Does it mean?? What is the issue?? Why i can not log in?? This is quite absurd.. From tomorrow i can not log in my account from mobile..i can not use any other gmail account for new sign in from mobile...i can not even open the site From my computer system..what is happening? I never did anything wrong!! Please give me a reason?? What is happening? This so absurd

### events refined:

[ I can't log in my linkedin account, It shows unknown error, I can't log in from mobile, I can't use any other gmail account for new sign in from mobile, I can't even open the site from my computer system, I never did anything wrong, I don't know what is happening"
