Review,Event
"The auto refresh on the news feed is making it nearly unusable, click on a link or story, read for 2min then click back and it reloads the whole news feed with the article you just read never to be found again and unable to comment on or read the next article in the news feed you saw before you clicked the first article, this is marketing tactics by Facebook to try and have as much different content jammed in your face as they can to increase marketing revenue income.","
Events:
[I click on a link or story, Read for 2 minutes, Click back, The whole news feed reloads with the article I just read, Never to be found again, Unable to comment or read the next article in the news feed]
The user is experiencing issues with the auto refresh feature on Facebook's news feed, which is causing frustration as they are unable to access previously read articles or comments. The user feels that this is a marketing tactic by Facebook to increase revenue through constant bombardment of new content."
Can't block all reels and ones u can don't work as it's a person not the page just comes back can only mute for 30 days and not block on pages not even apart of the page and reels are incomplete no part 2 to be seen etc when watching and on video tab to get full story's they constantly stop or not play after watching the add without scrolling away and back which is annoying as hell this app while extremely useful in keeping connected to people seems to get worse in all other aspects in time,"Events:

[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
[I search and scroll, It will select a random picture as the main one, It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now.]
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over, I got it updated, It is still continuing to do the same thing over and over]
[I can't login at all, Can't recover my account at all, I've tried uninstalling 3 times and tried to get the password reset but never worked just said error, Oh yeah and made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app this app sucks in conclusion and GET actual customer SUPPORT]
Each group of related events is enclosed in square brackets, with events within the same group separated by commas."
"It causes some unexpected log outs and u cant even log in ur acc, also nothing really changes in my opinion still causes some bugs and sudden exit in the app, other one is when u post a myday even your are done is sudenly it just go agin in the posting part like choosing the pic u want to post.","
 Events:
[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in]
* Logging out unexpectedly
* Session expiration issue
[I keep trying to update the app, It still won't let me log in]
* Update issues
[I update app, It says update again]
* Update failure
[It will select a random picture as the main one, keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object]
* Main photo selection issue
* Zoomed up tiny area selection issue
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over]
* Unpredictable logging out
* Password login issue
* Login cycle issue
[Can't login at all, Can't recover my account at all]
* Complete login failure
[I was trying to login, It made my screen go black, I was trying to login, just froze for a second, kicked me out of the app]
* Unexpected screen changes
* Freezing issue
* App closure issue"
"If I click a link on Facebook that leads to an external website or some group, and then go back, Facebook completely reloads, returning to the main page and loading new content, instead of as it used to be - going back to the post or comments I was reading, so now i cannot continue reading the thing I am interested in.","Here are the related events from the reviews:

Events:
[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
* Keeps logging me out of account
* Session expired error message
* Trying to log in but unable to
[I search and scroll, It will select a random picture as the main one, It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object]
* Randomly selects a small area as main photo
* Zoomed up small area selected as main photo
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over]
* Logs in with correct password
* App starts to log in but then errors
* Login has expired error message
* Getting kicked out after logging back in
[I can't login at all, Can't recover my account at all]
* Unable to login
* Unsuccessful password reset attempts
[I was trying to login, It made my screen go black, I was trying to login, just froze for a second, kicked me out of the app]
* Screen goes black during login attempt
* Frozen login screen
* Kicked out of the app"
"App has been fine until yesterday's update tried to get in today and it keeps telling me session has expired, reinstalled and still locked in that screen and cannot log back in through any of the options.","
Here are the events extracted from the reviews:
**Events related to login issues:**
* Keeps logging me out of account saying session expired (2 reviews)
* It keeps updating constantly even when I keep it up to date so not sure if the app is glitching (1 review)
* Can't recover my account at all (1 review)
* Screen goes black or freezes during login attempt (2 reviews)
**Events related to main picture selection:**
* Facebook marketplace has a bug or a terrible feature where it will select a random picture as the main one (1 review)
* Keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object (1 review)
**Events related to update issues:**
* I keep trying to update the app, It still won't let me log in (2 reviews)
* Got it updated, It is still continuing to do the same thing over and over (1 review)
**Events related to general app functionality:**
* The app has been fine until yesterday's update (1 review)"
"I have a Huawei tablet T5 and 2 days now every time i access fb after about 10 seconds i keep getting the message ""u need to update fb to continue"", i follow the link tha gets me in playstore under fb application where i get 2 options, ""open"" and ""uninstall"", if i hit open gets back to fb and afterca couple o secs i get the same message again, i also did uninstall 3 times so far and nothing changes, any idea why i get this message???","Events: [I access Facebook, I keep getting the message ""you need to update Facebook to continue""]"
"Absolute joke just totally wiped out my existence so tried to get back in, they sent codes by WhatsApp numerous times I NEVER RECEIVED ANY, we will contact your phone and you get in that way OH NO YOU DIDNT so as I can't use fb or msgr I came to app and tried to uninstall but it decided to update so when it's finished we will see if it's worked if not bye bye fb etc","Events: [I tried to get back in, They sent codes by WhatsApp numerous times I NEVER RECEIVED ANY][We will contact your phone and you get in that way OH NO YOU DIDNT][I came to the app and tried to uninstall but it decided to update]"
It won't log me in even though I enter the saved password it keeps saying sesson expired please log in and when I do it says unable to log in try again later and when I do it repeats the session expired etc over and over again and when you do get a code and enter it the next thing is a blank white page,"Sure! Here are the events extracted from the reviews:

Reviews:
* Keeps logging me out of account saying session expired and everytime I try to log in it won't let me. (1 event)
* Keeps updating constantly even when I keep it up to date so not sure if the app is glitching. (1 event)
* Overall not a good app so may have to consider deleting Facebook as this has put me off and happens way too much. (1 event)
* Keep trying to update the app thinking it was that but its still not working and it says update again even after I already did. (2 events)
Events:
* It keeps logging me out, It is saying session expired. (3 events)
* I search and scroll, It will select a random picture as the main one. (1 event)
* It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object. (1 event)
* I log in with the right password, The app starts to log in, It decides login has expired, It logs me out. (4 events)
* I try to recover my account, I've tried uninstalling 3 times and tried to get the password reset but never worked. (2 events)
* When trying to login, My screen goes black one time, Another time it just froze for a second and kicked me out of the app. (2 events)"
Literally feel like this app is just something I am forced to keep around so my family can randomly I can't log into the app it just repeatedly keeps telling me to try again even when I set a new password the app restarts and tells me it's messed up I hate that everything leads back to Facebook now,"Events:

[Logging in, session expired, cannot log in]
[Updating the app, still unable to log in]
[Uninstalling and reinstalling, still unable to log in]
[Password reset, still unable to log in]
[App freezing or crashing during login attempt]
These are the main events mentioned in the reviews, which can be grouped together as follows:
1. Logging in issues: The reviewer faces problems logging into their Facebook account, with the app repeatedly telling them to try again despite setting a new password.
2. Update issues: The reviewer tries to update the app but still experiences issues logging in.
3. Uninstalling and reinstalling: The reviewer tries uninstalling and reinstalling the app, but this does not solve the logging in issue.
4. Password reset issues: The reviewer attempts to reset their password but is unable to log in even after doing so.
5. App freezing or crashing: During login attempts, the app freezes or crashes, making it difficult for the reviewer to access their account."
My facebook has been logged out of everysingle time i have closed the app and sometimes while im useing it and it gives me trouble logging back in everytime i have been having this issue since January and its too much personal information for yall to just be messing up and apparently im not the only one,"Here are the events extracted from the reviews:

[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
* Keeps logging me out of account
* Session expired message
* Trying to log in but unable to
[I search and scroll, It will select a random picture as the main one, Keep selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object]
* Selecting a random picture as the main one
* Keeping selecting a zoomed up tiny area of damage as the main photo
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over]
* Logging in with the right password
* App starts to log in but then logs me out
* Trying to log back in but unable to
[Can't login at all, Can't recover my account at all]
* Unable to login
* Unable to recover account
[I have tried uninstalling 3 times and tried to get the password reset but never worked, just said error]
* Tried uninstalling multiple times
* Trying to reset password but unable to
[It made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app]
* Screen went black while trying to login
* App froze for a second before kicking user out"
"My ID Just disconnected automatically by showing me error of ""session expired login again"" and when i am trying to login cannot beinng and again facing the same error of session expire or showing an other erro also that "" Unable to login an unexpected error occured please tey logging in agai"" Kindly check the issue and revert the resolution thanks","Here are the related events from the reviews you provided:

[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
* Keeps logging me out of account
* Says session expired
* Try to log in, but it won't let me
* Keep trying to update the app, but it still won't let me log in
* Update the app, and it says update again
[I search and scroll, It will select a random picture as the main one, It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object]
* Search and scroll
* Selects a random picture as the main one
* Keeps selecting a zoomed up tiny area of damage as the main photo
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over]
* Log in with the right password
* App starts to log in
* Decides login has expired
* Logs me out
* Turns around
* Log back in
* App does the same thing over and over
[Can't login at all, Can't recover my account at all]
* Can't login at all
* Can't recover my account at all
[I have tried uninstalling, I tried to get the password reset, It never worked and just said error]
* Uninstalling
* Trying to get the password reset
* Never worked
* Just said error
[I was trying to login, It made my screen go black, It was trying to login, just froze for a second, kicked me out of the app]
* Trying to login
* Screen goes black
* App freezes for a second
* Kicks me out of the app"
Since last updated I am unable to stay signed in it just keeps kicking me off saying session is expired and when I try to sign back in and keeps giving me an error happened and to try to sign in again without allowing me too,"Events:
[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]

Related events:
* Keeps logging me out of account
* Says session expired when I try to log in
* Won't let me log in after multiple attempts
* Continuously updating the app without fixing the issue
Note: Some of the events may overlap or be similar, but they are grouped together based on their commonality."
"I've been using facebook for so long but why the hell i cant log in to mt account, same goes for the messenger app it always say's ""Login Session Expired"", this only happens today while im talking to some one pls fix this ASAP i already restarted my phone and i still can't get to log in to my account","Events: [I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again][I have tried uninstalling, I tried to get the password reset, It never worked and just said error]"
Very bad connection when you go in it can you press on the app and it keeps flickering back and forth and then when I try to go to try to change my photos you only can change one photo,"Events: [Bad connection, App flickers back and forth, Only able to change one photo]"
"Logged me out auto, nothing loads, and cannot log back in or even create a new avcount as its saying error with page, yet my co-worker app is working just fine only mine is denying me access on my phone, when i uninstalled, still shows intalled in play store","Events:

[It keeps logging me out, It says session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
[I search and scroll, It will select a random picture as the main one, It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now]
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over, I got it updated, It is still continuing to do the same thing over and over]
[I have tried uninstalling, I tried to get the password reset, It never worked and just said error, Made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app]"
"Don't get any notifications when people like my photos/posts, but get notifications for pointless groups Im not interested in, I've tried changing the settings but nothing works, to now see likes on my posts/photos I have to go onto my profile to see who's liked them as I now don't get notifications for them","Events: [I don't get notifications when people like my photos/posts, But get notifications for pointless groups I'm not interested in][I've tried changing the settings but nothing works, To now see likes on my posts/photos I have to go onto my profile to see who's liked them as I now don't get notifications for them]"
"Having terrible bug where I can't even open app just says there's a problem and won't let me get in even after deleting the app and redownloading and resetting my phone, I know it's not my phone.","
Events:
* It keeps logging me out (3 times)
* It is saying session expired (2 times)
* I try to log in, but it won't let me (2 times)
* I update the app, but it still doesn't work (2 times)
* The app freezes for a second while trying to login (1 time)
* It makes my screen go black while trying to login (1 time)
* It says there's a problem and won't let me get in (1 time)
These events can be grouped into the following categories:
1. Logging issues: The app keeps logging the user out, or it won't let them log in even after updating the app.
2. Session expired errors: The app is giving the user an error message saying that their session has expired, even after they have updated the app.
3. Update issues: The user is experiencing problems after updating the app, including it still not working properly.
4. Freezing and crashing: The app is freezing or crashing while the user is trying to log in, which makes it impossible for them to access their account."
"Stuck in a loop of trying to open the app, it logs me out, I try to log in, success, until 3 seconds in, feed hasn't even loaded and ""session expired, please log in"" How can the session be expired if I've only just opened it.","Events: [Trying to open the app, It logs me out][Trying to log in, Success until 3 seconds in, Feed hasn't even loaded, ""Session expired, please log in""]"
"This time it gets worse because normal post are now turning into reels although it wasn't posted as a reel that's bad, and with the new page experience the notifications has to be separated ( Page Notifications from Profile notifications ) it's bad when it has to keep switching accounts when u tap on every notification 🥺","Events: [It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again][The app turns black or white while trying to login][It freezes for a second and kicks me out of the app]

Here are the related events extracted from the reviews:
* Keeps logging me out of account (4 events)
	+ Event 1: The app keeps logging me out, saying session expired.
	+ Event 2: I try to log in, but it won't let me.
	+ Event 3: I keep trying to update the app, but it still won't let me log in.
	+ Event 4: I update the app, but it says update again.
* The app selects a random picture as the main one (2 events)
	+ Event 1: I search and scroll, but the app selects a random picture as the main one.
	+ Event 2: It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object.
* The app freezes or has issues during login (3 events)
	+ Event 1: I was trying to login, but the screen went black.
	+ Event 2: I was trying to login, and it froze for a second before kicking me out of the app.
	+ Event 3: I tried to login multiple times, but it never worked properly.
* The app does not allow recovery of account (1 event)
	+ Event 1: I tried to recover my account multiple times, but it never worked."
"I've been logged out of my Facebook and it keeps asking me to log back in which am trying to for it to keep coming up with ""something when wrong"" and I've try to unistalled and reinstalled the app and I've even try to reset my password and I keep getting the same message ""something when wrong"" so can you SORT IT OUT","Events:

[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
[I search and scroll, It will select a random picture as the main one, It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now.]
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over, I got it updated, It is still continuing to do the same thing over and over]
[I can't login at all, Can't recover my account at all, I've tried uninstalling 3 times and tried to get the password reset but never worked, just said error, Oh yeah and made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app]"
"Too many privacy and data issues also the short clips from Instagram always freeze up and don't load properly, more hassle to use than anything will only use on PC from now on when I have to for my job postings","Here are the events extracted from the reviews:

Reviews:
* Keeps logging me out of account saying session expired (Event 1)
* Everytime I try to log in, it won't let me (Event 2)
* Keeps updating constantly even when I keep it up to date (Event 3)
* Not sure if the app is glitching (Event 4)
* Overall not a good app so may have to consider deleting Facebook (Event 5)
* Keep trying to update the app thinking it was that but its still not working and it says update again even after I already did (Event 6)
Events:
[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in] (Event 1)
[I keep trying to update the app, It still won't let me log in] (Event 6)
[I update app, It says update again] (Event 6)
* Facebook marketplace has a bug or a terrible feature where it will select a random picture as the main one (So the only one buyers see when searching and scrolling) (Event 1)
* Keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object (Event 2)
[I search and scroll, It will select a random picture as the main one] (Event 1)
[It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object] (Event 2)
* I don't know what has happened lately it will not let me log into my Facebook (Event 1)
* Keep logging in right password and all cuz it starts to log in but then it decides login has expired and kicks me right back out logs me out then it turns around, I log back in and it does the same thing over and over (Event 2)
* I got it updated, It is still continuing to do the same thing over and over (Event 6)
[I log in with the right password, The app starts to log in] (Event 1)
[It decides login has expired, It logs me out] (Event 2)
[I log back in, The app does the same thing over and over] (Event 6)
* Can't login at all, Can't recover my account at all (Event 1)
* I've tried uninstalling 3 times and tried to get the password reset but never worked just said error (Event 2)
* Made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app (Event 4)
[I have tried uninstalling] (Event 2)
[I tried to get the password reset, It never worked and just said error] (Event 3)
[I was trying to login, Made my screen go black] (Event 4)"
I to been experiencing problems from the Facebook app I don't know whats going on but i definitely isn't liking it i just actually uninstalled it and going to trying install it back to see maybe whats going on with the app but yeah i just was trying to open my app and it wouldn't open my phone eventually would ask to close the app or wait which i tried waiting a couple of times but after me trying a few times and it telling me the same which i pushed wait 2 times but still wouldn't open,"Here are the events extracted from the reviews:

Review 1:
* Keeps logging me out of account (3 times)
* Says session expired
* I try to log in, but it won't let me
* App updates constantly even when kept up to date
* May have to consider deleting Facebook
* Keep trying to update app thinking it was that, but it's still not working
* It says update again even after I already did
Review 2:
* Has a bug or feature where it selects a random picture as the main one (so the only one buyers see when searching and scrolling)
* Keeps selecting a zoomed-up tiny area of damage as the main photo instead of the actual overall photo of an object
Review 3:
* Can't login at all
* Can't recover my account at all
* Tried uninstalling 3 times and password reset but never worked
* Screen goes black or white, and app freezes for a second before kicking me out
* Need actual customer support
Note that some of the events in Review 1 are repeated from the previous reviews, but I have grouped them together for clarity."
"This aap is good but when we play video it's generate ads of 1 or 2 min i think you can set the face book please, the face book is very slow it's contain 1mbs to work fast but the YouTube is play on only 100 mbs network please set the thing of facebook i like face book but it is the thing that i will not like face book || THANKS ||","
Events:
[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]
[I search and scroll, It will select a random picture as the main one, It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now.]
[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over, I got it updated, It is still continuing to do the same thing over and over]
[I can't login at all, I can't recover my account at all, I've tried uninstalling 3 times and tried to get the password reset but never worked, just said error, oh yeah, and made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app]"
Notification have been very slow doesn't notify me anymore and when I do go on the app it doesn't notify me that I have messages or notifications until later so I've missed a lot of notifications,"Events: [The app is slow in notifying me, It doesn't notify me anymore, It takes time to notify me of messages or notifications after using the app]"
"It randomly logged me out, had a hard time changing my password, and now I can't authenticate because I'm waiting on a text message code that hasn't come...","Events: [Randomly logs me out], [Hard time changing my password], [Waiting on a text message code that hasn't come]"
In latest version Facebook reels is crashing I want to created reel after before next reel is stuck and not working sometimes when i shoot video with camera,"Events: [The app is crashing, Creating a reel after another reel is stuck and not working, Shooting video with the camera]"
Lately posts and comments are slow to load(mostly when pics and videos are included and sometimes when there's only text in the posts),"Events: [Posts and comments are slow to load (mostly when pics and videos are included), Sometimes when there's only text in the posts]"
"I was literally just doing whatever and then suddenly it logged me out,, I know my password and when I try to log back in it just said it had an error ☹️☹️‼️","Events:

[Logging in, suddenly logging out]
[Knowing the password, trying to log back in, getting an error message]
The events in each group are related because they all involve issues with logging in and out of Facebook, as well as problems with recovering accounts. The user is experiencing frustration with the app's behavior and is requesting actual customer support."
"I have a question regarding fb that after my recent facebook update( yesterday that had done) the status size becomes bigger after i tap back button and covers my entire screen,I had cleared my cache and restart the app and even I uninstall and reinstall the app but thing is happening again and for that i need a solution.","Events: [I updated Facebook, The status size becomes bigger after tapping the back button, Covering the entire screen][I cleared the cache, Restarted the app, Uninstalled and reinstalled the app, But the issue persists]"
