Reviews,Outputs
"Afetr typing the post and clicking on the 'Publish' button, posts disappear after composing a post.","[{'Posts disappearing': ['Writing a post', ""Typing the post and clicking on 'Publish'""]}]"
"Whn commenting on a post, comments do not show up after typing the comment and clicking on the 'Submit' button.","[{'Comments not appearing': ['Commenting on a post', ""After typing the comment and clicking on the 'Submit'""]}]"
"Whrn updating profile information, profile information does not update after making changes and clicking on the 'Save' button.","[{'Profile information not updating': ['Updating profile information', 'Making changes', ""Clicking on the 'Save'""]}]"
"Aftwr selecting the reaction and clicking on the 'React' button, reactions are not registered after reacting to a post.","[{'Reactions not registering': ['Selecting the reaction', ""Clicking on the 'React'""]}]"
"Every tme I try to view a story, stories fail to load when attempting to view stories.",[{'Stories not loading': [' Try to view a story']}]
"Every tome I click on the 'Like' button, likes do not appear after liking a post.","[{'Likes not showing up': [""Click on the 'Like' button""]}]"
"Whn trying to share a post, shares are not successful after selecting 'Share' and choosing the platform.","[{'Shares not going through': ['Trying to share a post', ""Selecting 'Share' and choosing the platform""]}]"
"When accessing events, events are not displayed evwry time I try to view upcoming events.","[{'Events not displaying': ['Accessing events', 'Try to view upcoming events']}]"
"WhEn attempting to join a group, groups are inaccessible after clicking on the 'Join Group' button.","[{'Groups not accessible': ['Joining a group', ""Clicking on the 'Join Group' button""]}]"
"Evrey time I attempt to access a page, pages do not load properly when accessing pages.","[{'Pages not loading properly': ['Accessing pages', 'Attempt to access a page']}]"
"Aftr entering keywords and hitting the 'Search' button, search results are not relevant when performing a search.","[{'Search results not relevant': ['Entering keywords'""Hitting the 'Search' button""]}]"
